sourceUrl,targetUrl,isExternal,anchorText,rel,nofollow,location,selectorHint,discoveredInMode
https://drancich.com/,https://drancich.com/,false,Home,,false,nav,a:nth-of-type(2),prerender
https://drancich.com/,https://drancich.com/about-us/,false,About Us,,false,nav,a:nth-of-type(3),prerender
https://drancich.com/,https://drancich.com/services/,false,Services,,false,nav,a:nth-of-type(4),prerender
https://drancich.com/,https://drancich.com/contact-us/,false,Contact Us,,false,nav,a:nth-of-type(5),prerender
https://drancich.com/,https://drancich.com/,false,Home,,false,header,a:nth-of-type(6),prerender
https://drancich.com/,https://drancich.com/about-us/,false,About Us,,false,header,a:nth-of-type(7),prerender
https://drancich.com/,https://drancich.com/services/,false,Services,,false,header,a:nth-of-type(8),prerender
https://drancich.com/,https://drancich.com/contact-us/,false,Contact Us,,false,header,a:nth-of-type(9),prerender
https://drancich.com/,https://drancich.com/,false,Home,,false,nav,a:nth-of-type(10),prerender
https://drancich.com/,https://drancich.com/about-us/,false,About Us,,false,nav,a:nth-of-type(11),prerender
https://drancich.com/,https://drancich.com/services/,false,Services,,false,nav,a:nth-of-type(12),prerender
https://drancich.com/,https://drancich.com/contact-us/,false,Contact Us,,false,nav,a:nth-of-type(13),prerender
https://drancich.com/,https://drancich.com/,false,Home,,false,header,a:nth-of-type(14),prerender
https://drancich.com/,https://drancich.com/about-us/,false,About Us,,false,header,a:nth-of-type(15),prerender
https://drancich.com/,https://drancich.com/services/,false,Services,,false,header,a:nth-of-type(16),prerender
https://drancich.com/,https://drancich.com/contact-us/,false,Contact Us,,false,header,a:nth-of-type(17),prerender
https://drancich.com/,https://drancich.com/#main_content,false,3,,false,header,a:nth-of-type(18),prerender
https://drancich.com/,https://drancich.com/#request_appointment,false,Request an Appointment,,false,header,a:nth-of-type(19),prerender
https://drancich.com/,https://drancich.com/about-us/,false,Learn More About Dr. Ancich,,false,other,a:nth-of-type(20),prerender
https://drancich.com/,https://drancich.com/services/#teeth_whitening,false,Teeth Whitening,,false,other,a:nth-of-type(21),prerender
https://drancich.com/,https://drancich.com/services/#crowns,false,Crowns,,false,other,a:nth-of-type(22),prerender
https://drancich.com/,https://drancich.com/services/#porcelain_veneers,false,Porcelain Veneers,,false,other,a:nth-of-type(23),prerender
https://drancich.com/,https://drancich.com/services/#composite_bonding,false,Composite Bonding,,false,other,a:nth-of-type(24),prerender
